I0720 06:26:00.288551  3128 server.go:1367] Starting language server process with pid 3128
I0720 06:26:00.290073  3128 server.go:1417] Language server version: 1.1.4
I0720 06:26:00.290073  3128 server.go:523] Language server will attempt to listen on host localhost
I0720 06:26:00.290073  3128 server.go:538] Language server listening on random port at 53971 for HTTPS (gRPC)
I0720 06:26:00.290073  3128 server.go:546] Language server listening on random port at 53972 for HTTP
E0720 06:26:00.513114  3128 log.go:398] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
W0720 06:26:00.514734  3128 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.514734  3128 log.go:398] error getting token source: You are not logged into Antigravity.
W0720 06:26:00.515253  3128 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.515253  3128 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0720 06:26:00.515253  3128 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
E0720 06:26:00.515253  3128 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0720 06:26:00.516357  3128 manager.go:98] Creating trajectory store manager with proto store and SQLite store
I0720 06:26:00.516912  3128 manager.go:76] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0720 06:26:00.516912  3128 manager.go:79] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0720 06:26:00.517431  3128 manager.go:88] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
W0720 06:26:00.518594  3128 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.518594  3128 log.go:398] error getting token source: You are not logged into Antigravity.
W0720 06:26:00.519674  3128 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.519674  3128 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0720 06:26:00.525842  3128 server.go:2568] Auth succeeded, refreshing features and managers
E0720 06:26:00.525842  3128 log.go:398] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
W0720 06:26:00.525842  3128 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.525842  3128 log.go:398] error getting token source: You are not logged into Antigravity.
W0720 06:26:00.526357  3128 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.526357  3128 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.526872  3128 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0720 06:26:00.526872  3128 server.go:2574] State refresh took 1ms
I0720 06:26:00.527388  3128 server.go:2584] [RemoteControl] Subscription callback triggered.
I0720 06:26:00.527388  3128 server.go:2586] [RemoteControl] RemoteControlEnabled value: false
I0720 06:26:00.527388  3128 server.go:2717] [RemoteControl] Resolved proxyServerURL: ""
I0720 06:26:00.527388  3128 profiler.go:153] Continuous pprof profiling is disabled.
I0720 06:26:00.527388  3128 server.go:2155] initialized server successfully in 238.8375ms
W0720 06:26:00.527903  3128 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.527903  3128 log.go:398] error getting token source: You are not logged into Antigravity.
W0720 06:26:00.527903  3128 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.527903  3128 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0720 06:26:00.528418  3128 auto_updater.go:207] Last check was less than 15 minutes ago, skipping update
I0720 06:26:00.528418  3128 common.go:130] Launching CLI mode
E0720 06:26:00.528418  3128 common.go:145] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
I0720 06:26:00.528418  3128 common.go:176] CLI app data directory: C:\Users\Codyssey\.gemini\antigravity-cli
I0720 06:26:00.528418  3128 server.go:236] Creating CLI server backend: product=antigravity workspaceDirs=[C:\Users\Codyssey\PycharmProjects\KiwoomAutoTradeGPT] appDataDir=C:\Users\Codyssey\.gemini\antigravity-cli cascadeManager=true codeAssist=true
I0720 06:26:00.530469  3128 server.go:1526] Backend project ID updated dynamically to: default-cli-project
I0720 06:26:00.530469  3128 manager.go:317] Initializing CLI store manager for workspace C:\Users\Codyssey\PycharmProjects\KiwoomAutoTradeGPT
I0720 06:26:00.531507  3128 cli_setting_manager.go:138] applyUserSettings: no shared config permissions from C:\Users\Codyssey\.gemini\config\config.json
I0720 06:26:00.531507  3128 cli_setting_manager.go:820] Skipping telemetry propagation because user is not logged in
I0720 06:26:00.531507  3128 cli_setting_manager.go:81] CLI settings initialized: permissions=<nil>, toolPermission=request-review
I0720 06:26:00.532020  3128 hooks_manager.go:53] loaded 0 named hooks from 0 hooks.json file(s)
I0720 06:26:00.532020  3128 manager.go:485] CLI store manager initialized successfully
I0720 06:26:00.532020  3128 quota_manager.go:63] quotaRefreshLoop: skipped (not logged in)
I0720 06:26:00.532530  3128 common.go:421] CLI store manager created successfully
I0720 06:26:00.532530  3128 cli_setting_manager.go:199] ApplyProjectPermissionGrants: no grants for project "CLI Project", cleared project permissions
I0720 06:26:00.535102  3128 common.go:561] Starting CLI program
CLI ready for user input (startup took 6.6844ms)
ERROR: logging before google.Init: I0720 06:26:00.538204      94 terminal_info_manager.go:166] Terminal detection: TERM="" altScreen=false ssh=false
I0720 06:26:00.542013  3128 gemini_extensions.go:28] Detecting Gemini extensions in C:\Users\Codyssey\.gemini\extensions
I0720 06:26:00.542013  3128 gemini_extensions.go:49] No extensions found
I0720 06:26:00.543313  3128 keyring.go:64] keyringAuth: loaded token, expiry=2026-07-20 06:33:52.6764198 +0900 KST expired=false
I0720 06:26:00.543831  3128 manager.go:1115] Reloading system slash commands and skills
I0720 06:26:00.543831  3128 manager.go:1091] Reloading system slash commands
W0720 06:26:00.543831  3128 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.543831  3128 log.go:398] error getting token source: You are not logged into Antigravity.
W0720 06:26:00.544347  3128 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.544347  3128 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.544347  3128 server.go:526] failed to get model config: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0720 06:26:00.544347  3128 manager.go:1095] Slash commands unchanged, skipping update
W0720 06:26:00.544347  3128 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.544864  3128 log.go:398] error getting token source: You are not logged into Antigravity.
I0720 06:26:00.544864  3128 hooks_manager.go:53] loaded 0 named hooks from 0 hooks.json file(s)
W0720 06:26:00.544864  3128 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0720 06:26:00.544864  3128 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0720 06:26:00.588874  3128 manager.go:758] Full redraw completed (rerenderAll) for conversation  (epoch 0, items 1)
I0720 06:26:00.700042  3128 auth.go:132] ChainedAuth: authenticated via keyring (effective: keyring)
I0720 06:26:00.700042  3128 server_oauth.go:216] applyAuthResult: email=oransee1@gmail.com, authMethod=consumer, quotaProject=
I0720 06:26:00.700042  3128 server_oauth.go:221] OAuth: authenticated successfully as oransee1@gmail.com
I0720 06:26:00.700042  3128 server_oauth.go:227] b.codeAssistClient.AuthProvider (0xeeabd1c2a20) is same as b.cliAuth (0xeeabd1c2a20)
W0720 06:26:00.700042  3128 log_context.go:117] Cache(fetchBAICAdminControls): Singleflight refresh failed: admin controls not applicable
E0720 06:26:00.700042  3128 log.go:398] admin controls not applicable
W0720 06:26:00.702555  3128 log_context.go:117] Failed to refresh cache in background: admin controls not applicable
W0720 06:26:00.702555  3128 log_context.go:117] Failed to refresh cache in background: admin controls not applicable
I0720 06:26:01.912049  3128 http_helpers.go:228] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x25aa0ebf647c82c8
I0720 06:26:02.492438  3128 http_helpers.go:228] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x3f417330028a59
I0720 06:26:02.500002  3128 model_config_manager.go:213] Propagating selected model override to backend: label="Gemini 3.5 Flash (Medium)"
I0720 06:26:02.500523  3128 quota_manager.go:72] quotaRefreshLoop: starting reload (force=true)
I0720 06:26:03.052855  3128 input_loop.go:516] Auth done received, triggering experiment refresh
I0720 06:26:03.052855  3128 experiment_manager.go:35] Starting experiment refresh after login
I0720 06:26:03.385321  3128 experiment_manager.go:39] Experiments refreshed after login
I0720 06:26:03.385899  3128 manager.go:1091] Reloading system slash commands
I0720 06:26:04.190701  3128 http_helpers.go:228] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xd65dcb77cb9e5
I0720 06:26:05.525873  3128 http_helpers.go:228] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xe7f5c815a4f61c0d
I0720 06:26:05.812092  3128 model_config_manager.go:213] Propagating selected model override to backend: label="Gemini 3.5 Flash (Medium)"
I0720 06:26:05.812092  3128 model_config_manager.go:213] Propagating selected model override to backend: label="Gemini 3.5 Flash (Medium)"
I0720 06:26:05.812669  3128 quota_manager.go:72] quotaRefreshLoop: starting reload (force=true)
I0720 06:26:06.312095  3128 input_loop.go:516] Auth done received, triggering experiment refresh
I0720 06:26:06.312095  3128 experiment_manager.go:35] Starting experiment refresh after login
I0720 06:26:06.361070  3128 input_loop.go:516] Auth done received, triggering experiment refresh
I0720 06:26:06.361070  3128 experiment_manager.go:35] Starting experiment refresh after login
I0720 06:26:06.589431  3128 model_config_manager.go:213] Propagating selected model override to backend: label="Gemini 3.5 Flash (Medium)"
I0720 06:26:06.638586  3128 experiment_manager.go:39] Experiments refreshed after login
I0720 06:26:06.638586  3128 manager.go:1091] Reloading system slash commands
I0720 06:26:06.646602  3128 manager.go:1095] Slash commands unchanged, skipping update
I0720 06:26:06.679168  3128 experiment_manager.go:39] Experiments refreshed after login
I0720 06:26:06.679168  3128 manager.go:1091] Reloading system slash commands
I0720 06:26:06.685598  3128 manager.go:1095] Slash commands unchanged, skipping update
I0720 06:26:06.723814  3128 quota_manager.go:72] quotaRefreshLoop: starting reload (force=true)
I0720 06:26:07.147292  3128 input_loop.go:516] Auth done received, triggering experiment refresh
I0720 06:26:07.147292  3128 experiment_manager.go:35] Starting experiment refresh after login
I0720 06:26:07.392666  3128 experiment_manager.go:39] Experiments refreshed after login
I0720 06:26:07.392666  3128 manager.go:1091] Reloading system slash commands
I0720 06:26:07.399543  3128 manager.go:1095] Slash commands unchanged, skipping update
I0720 06:26:07.820820  3128 http_helpers.go:228] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xfd06f4e6da314727
I0720 06:28:09.768064  3128 server.go:2408] Got signal terminated, shutting down
I0720 06:28:09.768064  3128 server.go:2449] Language server shutting down
I0720 06:28:09.768064  3128 server.go:2454] Waiting for migrations to complete to prevent partial migration state...
